Location [Note 1],1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,To CIA estimates
Malaysia *,101.52,79.99,59.7,46.31,38.38,29.45,21.13,15.67,12.34,9.91,7.62,6.99,6.42,5.9,<-
Jersey * Channel Islands (UK) *,32.49,28.3,26.97,24.88,23.39,21.31,17.96,16.03,13.65,10.33,8.78,7.58,6.75,6.12,<-
Bahrain *,172.0,145.91,105.23,70.82,47.37,31.94,23.14,18.38,14.86,12.25,9.76,7.95,6.91,5.97,<-
Bosnia and Herzegovina *,188.58,135.72,98.03,72.63,49.21,34.03,25.58,17.55,18.42,11.14,9.83,9.03,6.91,6.0,<-
French Polynesia (France),129.51,99.83,89.02,79.6,71.5,58.64,34.73,19.66,18.05,10.17,9.4,8.78,6.91,6.66,<-
Qatar *,105.82,87.04,68.72,50.76,43.71,33.46,26.63,20.75,15.24,11.87,9.8,8.3,7.32,6.29,<-
Bahamas,36.77,32.22,28.01,24.84,25.92,25.52,23.62,21.36,17.48,14.15,13.05,11.28,8.02,5.88,<-
Chile *,122.54,117.98,107.44,88.1,66.63,44.06,24.59,17.97,14.0,11.08,8.33,7.74,7.2,6.72,<-
Russia *,100.45,59.38,39.65,31.25,26.37,28.77,25.89,23.62,21.93,20.96,16.16,10.68,8.34,5.76,<-
Bulgaria *,90.16,61.51,35.83,30.5,25.46,21.83,17.3,14.23,15.4,15.24,12.75,9.55,8.32,6.29,<-
Saudi Arabia *,201.63,180.26,160.35,137.21,105.14,79.57,59.05,42.77,30.04,21.75,16.32,12.2,8.69,6.31,<-
Romania *,90.75,80.41,53.93,51.01,39.25,30.85,25.67,25.54,22.98,20.28,16.94,11.96,8.35,6.68,<-
Kuwait *,123.97,102.43,80.54,59.2,45.02,33.93,22.91,16.87,13.27,11.65,10.41,9.74,8.16,7.12,<-
Maldives *,268.25,246.77,222.03,191.06,156.68,121.31,95.23,75.89,60.4,44.36,26.62,14.76,8.95,6.77,<-
Ukraine *,78.52,46.49,30.96,23.49,20.97,22.91,19.91,17.76,17.05,16.62,14.8,12.64,8.75,7.2,<-
